ÃÄ«~¥N½X,ÃÄ«~¦WºÙ,¼Æ¶q
A000541100,AMPICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A000572100,METOCLOPRAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 3.84-5.00 MG,0
A000575100,PARAMETHASONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,0
A000582221,CHLORPHENIRAMINE 0.6MG/ML + VITAMIN B2  2MG/ML + VITAMIN B6 2MG/ML + BIOTIN 100MCG/ML + GLYCYRRHIZIC ACID 2MG/ML¡A ª`®g¾¯¡A 5.00ML,0
A000587100,DOXYCYCLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,0
A000604151,DEXTROMETHORPHAN 2.5MG/ML + POTASSIUM CRESOLSULFONATE 15MG/ML¡A ¤ºªA²G¾¯¡A 60.00ML,3467.3
A000647100,CYPROHEPTADINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,0
A000742199,CLOPERASTINE ¡A ¤fªAÁû²É¾¯ ¡A 177.00 MG,0
A000749100,BELLADONNA ALKALOID 4MG + ALUMINUM HYDROXIDE 100MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,0
A000822157,DEXTROMETHORPHAN HBR  0.5MG/ML+ AMMONIUM CHLORIDE 2MG/ML+ CHLORPHENIRAMINE MALEATE  0.15MG/ML+METHYLEPHEDRINE DL- HCL  0.4MG/ML+ POTASSIUM GUAIACOLSULFONATE 6MG/ML¡A¤fªA²G¾¯¡A120ML,27
A000844100,MEPENZOLATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 7.50 MG,0
A000849100,ERYTHROMYCIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A000862100,MAGNESIUM OXIDE 70MG + SODIUM BICARBONATE 200MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,0
A000895100,DIAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,159
A000900100,PROPRANOLOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,0
A000902100,INOSITOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,0
A000933100,PREDNISOLONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,0
A000985100,VITAMIN B1 50MG + VITAMIN B2 2-5MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,0
A000998100,DIMETHICONE 36.7MG + ALUMINUM HYDROXIDE 334MG + MAGNESIUM HYDROXIDE 166MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,0
A001001100,SERRAPEPTASE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,0
A0010011G0,SERRAPEPTASE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,0
A001046100,MAGNESIUM OXIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,447458.4
A0010471G0,FUROSEMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,0
A001057100,GUAIFENESIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,0
A001059100,DEXAMETHASONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,0
A001068100,AMPICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A001112100,METRONIDAZOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A001155100,PHENOBARBITAL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,0
A0011921G0,ETILEFRIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,0
A001206100,CLOFIBRATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A001217100,DIAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,28
A001226100,PREDNISOLONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,65606.5
A001358100,AMINOPHYLLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,0
A001396100,ERYTHROMYCIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A001398100,NALIDIXIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,282
A001400100,DIPROPHYLLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,0
A001426100,ALUMINUM HYDROXIDE ¡A ¤ºªA²G¾¯ ¡A 40.00  MG/ML ¡A 1.00 ML,0
A001426199,ALUMINUM HYDROXIDE ¡A ¤ºªA²G¾¯ ¡A 40.00  MG/ML ¡A 1.00 ML,0
A001437277,AMPICILLIN ¡A ª`®g¾¯ ¡A 500.00 MG,39
A001446100,AMPICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,0
A001448100,NOSCAPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 20.00 MG,224591.5
A001532100,MEDAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,0
A001584100,MAGNESIUM OXIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,67775.7
A001607100,METOCLOPRAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 3.84-5.00 MG,0
A001632100,MINOCYCLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,0
A001641100,CYPROHEPTADINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 4.00 MG,0
A001644100,DICYCLOMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 20.00 MG,0
A001646100,DIAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,2335.5
A0016461G0,DIAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,2470
A001648100,§tANTIHISTAMINE©ÎNASAL DECONGESTANT¤§½Æ¤è»s¾¯¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,0
A001673100,CINNARIZINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,0
A0016731G0,CINNARIZINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,0
A001691100,METOCLOPRAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 7.67 - 10.00 MG,0
A001713100,AMYLASE 10MG + DIASTASE 5MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,3533811.7
A001735100,SCOPOLAMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,0
A001779100,DEXAMETHASONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,0
A001781100,BETAMETHASONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,0
A001782100,CARBETAPENTANE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,5159
A001793100,§tmethyl testosterone 10mg¡A³æ¡B½Æ¤è»s¾¯¡A¤@¯ë¿õ¾¯½¦Ån¾¯,0
A001816100,DICYCLOMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,0
A001833229,DEXAMETHASONE ¡A ª`®g¾¯ ¡A 10.00 MG,0
A001836100,METHIMAZOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,0
A001850100,AMPICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,298
A001856100,ERYTHROMYCIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A001865212,DIAZEPAM ¡A ª`®g¾¯ ¡A 10.00 MG,0
A001866100,AMPICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,2130
A001867277,AMPICILLIN ¡A ª`®g¾¯ ¡A 500.00 MG,0
A001881100,DICYCLOMINE 2.5MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM OXIDE 100MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,0
A001941100,DIPYRIDAMOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,0
A001963100,METRONIDAZOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A0019631G0,METRONIDAZOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A001973100,VITAMIN E (=TOCOPHEROL) ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,0
A001982212,DICYCLOMINE ¡A ª`®g¾¯ ¡A 20.00 MG,0
A001997100,CHLORZOXAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,48069
A002076100,ETHAMBUTOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A002078100,DEXTROMETHORPHAN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 15.00 MG,0
A002086100,DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUM SILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLL SODIUM COPPER 3MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,38
A002107500,ACETYLSALICYLIC ACID ¡A ®ê¾¯ ¡A 125-325 MG,0
A002126100,DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM OXIDE 200MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,0
A002140100,VITAMINE B12 (=HYDROXOCOBALAMIN) ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,0
A0021401G0,VITAMINE B12 (=HYDROXOCOBALAMIN) ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,0
A002242100,NALIDIXIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,0
A002323100,ERYTHROMYCIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A002341349,CALAMINE 20MG/ML + ZINC OXIDE 80MG/ML¡A ¥~¥Î²G¾¯¡A 53.00ML,0
A002341351,CALAMINE 20MG/ML + ZINC OXIDE 80MG/ML¡A ¥~¥Î²G¾¯¡A 60.00ML,0
A002341355,CALAMINE 20MG/ML + ZINC OXIDE 80MG/ML¡A ¥~¥Î²G¾¯¡A 100.00ML,0
A002343100,DIAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,0
A002359100,PREDNISOLONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,0
A002362100,BUTYLSCOPOLAMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,0
A0023681G0,FUROSEMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,0
A002385100,PREDNISOLONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,0
A002403100,AMPICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A002420100,homatropine 1-1.25mg + aluminum hydroxide 0-300mg¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,0
A002444100,AMPICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,0
A002445100,AMPICILLIN 125MG + CLOXACILLIN 125MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,0
A002479100,ALUMINUM HYDROXIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 233.00 MG,0
A002504100,FUROSEMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,0
A002555100,DIMETHICONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,90393.2
A002562100,BENZYDAMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,0
A002595100,METOCLOPRAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 3.84-5.00 MG,31928
A002616100,MEFENAMIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A002626100,MEFENAMIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A002635100,SCOPOLAMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,16132.5
A002644100,CHLORZOXAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A002657229,PROGESTERONE ¡A ª`®g¾¯ ¡A 250.00 MG,4854
A002658100,CYCLIZINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,21
A002680100,ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,0
A002684100,BROMHEXINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 8.00 MG,0
A002699100,ACETAMINOPHEN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 300.00 MG,0
A002755100,VITAMIN B1 50MG + VITAMIN B2 2-5MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,0
A002759100,VITAMIN B2 (=RIBOFLAVIN) ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,0
A002760100,DEXTROMETHORPHAN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 15.00 MG,12099.9
A002766100,ACETAMINOPHEN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 300.00 MG,0
A002844100,METHYLEPHEDRINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,0
A002845100,VITAMIN B6 (=PYRIDOXINE) ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,0
A002856100,§tANTIHISTAMINE©ÎNASAL DECONGESTANT¤§½Æ¤è»s¾¯¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,36434
A002863100,GLYBURIDE (=GLIBENCLAMIDE) ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,0
A002904100,CYPROHEPTADINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 4.00 MG,0
A002921100,§tANTIHISTAMINE©ÎNASAL DECONGESTANT¤§½Æ¤è»s¾¯¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,0
A002961100,METRONIDAZOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A002971100,METHYLEPHEDRINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,0
A002985100,CHLORPHENIRAMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 3.00 MG,0
A002987100,VITAMIN B12 (=CYANOCOBALAMIN) ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 1000.00 MCG,0
A002989100,CUPRIC SULFATE 0.500MG + FERROUS GLUCONATE 60.000MG + LIVER 20.000MG + THIAMINE NITRATE 1.000MG + RIBOFLAVIN (=VIT B2) 1.000MG + CYANOCOBALAMIN (=VIT B12) 2.000MCG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,0
A002994100,§tANTIHISTAMINE©ÎNASAL DECONGESTANT¤§½Æ¤è»s¾¯¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,10488
A003023212,METHIONINE DL- 20MG/ML+CHLORPHENIRAMINE MALEATE 1.5MG/ML+RIBOFLAVIN PHOSPHATE 2.5MG/ML+PYRIDOXINE HCL 2.5MG/ML+PANTHENOL 5MG/ML+FLAVINEADENINE DINUCLEOTIDE 0.05MG/ML+NIACINAMIDE (=NICOTINAMIDE) 10MG/ML+BIOTIN 0.25MG/ML¡Aª`®g¾¯¡A2.00ML,21.5
A003086100,DEXAMETHASONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,0
A003092100,ACETYLSALICYLIC ACID ¡A¤@¯ë¿õ¾¯½¦Ån¾¯¡A 500.00 MG,150
A003107100,ANETHOLE TRITHIONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 12.50 MG,0
A003109100,VITAMIN C (=ASCORBIC ACID) ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,0
A003116100,INDOMETHACIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,0
A003133238,WATER FOR INJECTION ¡A ª`®g¾¯ ¡A 20.00 ML,0
A003156212,VITAMIN B6 (=PYRIDOXAL 5-PHOSPHATE) ¡A ª`®g¾¯ ¡A 10.00 MG,7
A003157221,HISTIDINE ¡A ª`®g¾¯ ¡A 200.00 MG,1
A003159238,SODIUM SALICYLATE 20MG/ML + CHONDROITIN 10MG/ML¡A  ª`®g¾¯¡A  20.00ML,0
A003171100,DEXAMETHASONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,0
A003206100,MEFENAMIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A003222221,HISTIDINE ¡A ª`®g¾¯ ¡A 200.00 MG,0
A003227100,CEPHALEXIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,0
A003244100,PROCHLORPERAZINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,0
A003286100,ERYTHROMYCIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A0032861G0,ERYTHROMYCIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A003311100,DIASTASE 120MG + PANCREATIN 120MG + PEPSIN 60MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,8187.4
A003314100,MEFENAMIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A003317212,FUROSEMIDE ¡A ª`®g¾¯ ¡A 20.00 MG,0
A003318100,METOCLOPRAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 3.84-5.00 MG,0
A003365100,PREDNISOLONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,0
A0033651G0,PREDNISOLONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,0
A003367100,VITAMIN B12 (=CYANOCOBALAMIN) ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MCG,0
A003373321,FLUOCINOLONE 0.25MG/GM + NEOMYCIN 3.5MG/GM¡A ¥~¥Î³n»I¾¯¡A 5.00GM,24
A003373329,FLUOCINOLONE 0.25MG/GM + NEOMYCIN 3.5MG/GM¡A ¥~¥Î³n»I¾¯¡A 10.00GM,24
A003386209,TRIAMCINOLONE ¡A ª`®g¾¯ ¡A 40.00 MG,2353.1
A003386212,TRIAMCINOLONE ¡A ª`®g¾¯ ¡A 80.00 MG,1633.7
A003386229,TRIAMCINOLONE ¡A ª`®g¾¯ ¡A 400.00 MG,3635.3
A003388100,HYDROCHLOROTHIAZIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,0
A003389100,ACETAZOLAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A003390100,MEPROBAMATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,0
A003393100,CHLORPROMAZINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,79
A003417209,STREPTOMYCIN ¡A ª`®g¾¯ ¡A 1.00 GM,0
A003440100,VITAMIN B2 (=RIBOFLAVIN) ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,0
A003442100,CHLORPHENIRAMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 4.00 MG,0
A003446221,TRIAMCINOLONE ¡A ª`®g¾¯ ¡A 50.00 MG,2133.3
A003496100,FUROSEMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,0
A003534100,DEXAMETHASONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,0
A003551100,PIPERILATE 3MG + ALUMINUM MAGNESIUM SILICATE 290MG + GLYCYRRHETIC ACID 40MG + HISTIDINE 30MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,3578
A003572421,CHONDROITIN 10MG/ML + FLAVINEADENINE 0.5MG/ML¡A ²´¥Î²G¾¯¡A 5.00ML,1
A003621100,DEXTROMETHORPHAN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,3886
A003623100,DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM OXIDE 200MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,0
A003633100,CHLORPHENIRAMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 4.00 MG,1814329.1
A003648100,AMINOPHYLLINE 25MG + CHLORPHENIRAMINE 2MG + EPHEDRINE 5MG + GUAIFENESIN 20MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,0
A003686100,DIASTASE 120MG + PANCREATIN 120MG + PEPSIN 60MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,0
A003687100,DOXYCYCLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,0
A003697417,TETRACYCLINE ¡A ²´¦Õ»ó¥Î³n»I ¡A 10.00  MG/GM ¡A 3.50 GM,0
A003703100,DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUM SILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLL SODIUM COPPER 3MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,0
A003704100,DIMETHICONE 20MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM HYDROXIDE 200MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,21
A003706100,ACETAMINOPHEN 250MG + SALICYLAMIDE  300MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,0
A003727100,DIPHENHYDRAMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,149655.5
A003739100,ALUMINUM HYDROXIDE 334MG + MAGNESIUM HYDROXIDE 166MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,0
A003759100,INDOMETHACIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,0
A003773100,DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUM SILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLL SODIUM COPPER 3MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,0
A003775100,ERYTHROMYCIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A003777100,METRONIDAZOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A003780100,CHLORAMPHENICOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,0
A003786209,ERGONOVINE ¡A ª`®g¾¯ ¡A 200.00 MCG,18
